profile,scale,tier,cpu,cpuNote,gpu,gpuNote,ram,ramNote,storage,price
review,small,cheapest,entry,"Either is fine for office work. Pick on price.",integrated,"Integrated graphics are all document work needs.",16 GB DDR5,"16 GB keeps a stack of PDFs and browser tabs open.",1 TB NVMe,"$900--$1,100"
review,small,value,entry,"More than enough for documents. Pick on price.",integrated,"Integrated graphics are all document work needs.",32 GB DDR5,"32 GB if you keep a lot open at once.",1 TB NVMe,"$1,100--$1,400"
review,small,best,standard,"Faster and longer-lived, though documents won't push it.",rtx4060,"Optional. A 4060 only helps if your role grows past documents.",64 GB DDR5,"64 GB is more than documents need, but it lasts.",2 TB NVMe,"$1,500--$1,800"
review,large,cheapest,entry,"Handles large document sets. Pick on price.",integrated,"Integrated graphics are all document work needs.",32 GB DDR5,"32 GB keeps large drawing sets, PDFs, and tabs open together.",1 TB NVMe,"$1,100--$1,400"
review,large,value,standard,"More than large document sets need. Pick on price.",rtx4060,"Optional. A 4060 only helps if your role grows past documents.",64 GB DDR5,"64 GB keeps large reference sets open at once.",2 TB NVMe,"$1,500--$1,800"
review,large,best,standard,"More than documents need, but it lasts.",rtx4060,"Optional. A 4060 only helps if your role grows past documents.",64 GB DDR5,"64 GB keeps many apps open, and it lasts.",2 TB NVMe,"$1,500--$1,800"
drafting,small,cheapest,entry,"The cheapest chip I'd draft on. Either brand is fine.",rtx4060,"AutoCAD's viewport is light. A 4060 is plenty.",32 GB DDR5,"32 GB is plenty for typical drawings.",1 TB NVMe,"$1,100--$1,400"
drafting,small,value,standard,"A quick core for CAD. Either brand is fine.",rtx4060,"AutoCAD's viewport is light. A 4060 is plenty.",32 GB DDR5,"32 GB is plenty for typical drawings.",1 TB NVMe,"$1,300--$1,600"
drafting,small,best,top,"The fastest core available, more than drafting uses.",rtx5070,"More than AutoCAD needs, but useful if you do 3D too.",64 GB DDR5,"64 GB for large drawing sets and multitasking.",2 TB NVMe,"$2,200--$2,600"
drafting,large,cheapest,standard,"Handles larger xrefs on a budget. Either brand is fine.",rtx4060,"Enough for complex 2D work. AutoCAD stays light on the GPU.",32 GB DDR5,"32 GB works if you don't keep every xref open at once.",1 TB NVMe,"$1,400--$1,700"
drafting,large,value,standard,"A quick core for large drawing sets. Either brand is fine.",rtx4060,"AutoCAD's viewport is light. A 4060 is plenty.",64 GB DDR5,"64 GB for large drawing sets with many xrefs.",2 TB NVMe,"$1,600--$1,900"
drafting,large,best,top,"The fastest core for regenerating complex drawings.",rtx5070,"More than AutoCAD needs, but useful if you do 3D too.",64 GB DDR5,"64 GB for large drawing sets and multitasking.",2 TB NVMe,"$2,400--$2,800"
modeling,small,cheapest,entry,"Both are fine here, so pick on price.",rtx4060,"An integrated GPU will be unreliable for modeling. Rhino and SketchUp use the GPU for the viewport, and integrated drivers have known issues.",32 GB DDR5,"Enough for a single building. 64 GB is better for multiple and consultant-linked models.",1 TB NVMe,"$1,400--$1,700"
