profile,scale,tier,chip,cpuNote,memory,memoryNote,storage,price
review,small,cheapest,macmini_m4,"Quiet and small. Plenty for documents. For review work, a refurbished previous-gen Mac is great value.",16 GB unified,Enough for documents and a stack of tabs.,512 GB SSD,"$800--$1,000"
review,small,value,macmini_m4pro,More than enough for documents.,24 GB unified,More than documents need.,512 GB SSD,"$1,400--$1,600"
review,small,best,macmini_m4pro,More chip than documents need.,48 GB unified,Far more than documents will use.,1 TB SSD,"$1,800--$2,000"
review,large,cheapest,macmini_m4,Handles larger document sets. A refurbished previous-gen Mac also does this work well.,24 GB unified,Holds large document sets.,512 GB SSD,"$1,000--$1,200"
review,large,value,macmini_m4pro,Even large document sets use little of the chip.,48 GB unified,Keeps many large sets open at once.,1 TB SSD,"$1,800--$2,000"
review,large,best,macmini_m4pro,Far more chip than documents need.,48 GB unified,Far more than documents will use.,1 TB SSD,"$1,800--$2,000"
drafting,small,cheapest,macmini_m4pro,The cheapest Mac I'd draft on.,24 GB unified,Plenty for 2D drawings.,512 GB SSD,"$1,400--$1,600"
drafting,small,value,macmini_m4pro,Fast enough for 2D CAD.,24 GB unified,Plenty for 2D drawings.,1 TB SSD,"$1,600--$1,800"
drafting,small,best,macstudio_m4max,"More than drafting needs, and it also handles larger drawings.",36 GB unified,More than 2D drafting needs.,1 TB SSD,"$2,000--$2,400"
drafting,large,cheapest,macmini_m4pro,Workable for big drawing sets on a budget.,24 GB unified,Enough for large drawing sets.,1 TB SSD,"$1,600--$1,800"
drafting,large,value,macstudio_m4max,Handles large drawing sets with many xrefs.,36 GB unified,Handles large drawing sets.,1 TB SSD,"$2,000--$2,400"
drafting,large,best,macstudio_m4max,"More chip than 2D drafting needs, even for complex drawings.",64 GB unified,Room for complex drawings and multitasking.,2 TB SSD,"$2,800--$3,200"
modeling,small,cheapest,macmini_m4pro,"Handles ArchiCAD, Rhino, and SketchUp while models stay moderate.",48 GB unified,"Holds a single building, GPU included.",1 TB SSD,"$1,800--$2,100"
modeling,small,value,macstudio_m4max,"GPU cores keep ArchiCAD, Rhino, and SketchUp viewports smooth.",36 GB unified,Enough for a single building.,1 TB SSD,"$2,000--$2,400"
modeling,small,best,macstudio_m4max,The top single-core for modeling.,64 GB unified,"Comfortable with larger, linked models.",2 TB SSD,"$2,800--$3,200"
modeling,large,cheapest,macmini_m4pro,Even large models run fine here. This clears ArchiCAD's commercial baseline.,48 GB unified,The least I'd use for large models.,1 TB SSD,"$2,400--$2,800"
modeling,large,value,macstudio_m4max,"Smooth with large, linked consultant models.",64 GB unified,"Holds large, consultant-linked models.",2 TB SSD,"$2,800--$3,200"
modeling,large,best,macstudio_m4max,"The top chip for modeling. An Ultra costs more for weaker single-core, so skip it here.",128 GB unified,Room for the largest models.,2 TB SSD,"$4,000--$5,000"
viz,small,cheapest,macstudio_m4max,The cheapest Mac I'd call a visualization machine.,36 GB unified,"Holds typical scenes, GPU included.",1 TB SSD,"$2,300--$2,700"
viz,small,value,macstudio_m4max,Enough for Enscape and Twinmotion on smaller projects.,48 GB unified,Room for larger Enscape and Twinmotion scenes.,1 TB SSD,"$2,500--$3,000"
viz,small,best,macstudio_m3ultra,Maximum GPU cores for real-time work.,96 GB unified,Holds large scenes and their assets.,2 TB SSD,"$4,000--$5,000"
